;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
0;;;;;;;;;;;;;;;;;;
MAE;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;10.97422544;
MAE;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;8.198206188;
MAE;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;12.67757045;
MAE;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;7.15611507;
MAE;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;5.820994305;
MAE;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;12.8267464;
MAE;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;11.24374055;
MAE;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;21.21837965;
MAE;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614;15.22506614
MAE;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561;7.141868561
0;;;;;;;;;;;;;;;;;;
predicted;26.57417562;82.94995826;12.18535277;109.8747822;90.08054054;6.099019514;72.17250466;47.87467277;8.348469228;7.196152423;1;21.57839583;41.46948949;26.40121947;81.42534081;3.732050808;70.03701167;
predicted;93.60547228;-6.372698919;83.21972431;-1.133460494;40.60249313;101.4216548;16.58662338;100.558491;21.71033881;84.72767869;2.452914324;62.73451986;86.91218606;22.02981968;96.11191962;3.94315253;93.43706442;
predicted;13.61243032;104.6984628;89.29158194;2.060681767;30.29633759;7.850534839;101.5814012;98.62809415;88.93789457;75.07798279;69.6626557;2.018756629;83.21430769;91.93261897;104.4139448;2.043678206;4.405052019;
predicted;110.1060341;98.33130226;98.58684447;75.79372593;111.1961324;120.6766958;4.329840328;1.583817847;24.26974466;97.30518959;58.26062097;107.1686808;101.2279345;6.264999148;5.259268976;12.09529698;49.98033969;
predicted;95.93887073;4.683963928;100.3604669;99.45841267;-3.259950334;47.71037411;67.14779485;8.89207715;92.24575086;42.16717386;40.0415414;95.45200982;104.9989363;23.52179575;80.91323907;96.5830988;95.78219734;
predicted;0;89;18;56;76;11;5;3;11;5;39;106;105;1;0;75;71;
predicted;121.2052273;62.55607864;58.2990037;56.91750399;70.46123953;91.65075289;52.27964164;13.48735884;48.22158356;103.6777395;-52.63141549;4.852587369;50.19469736;109.2860647;108.0475233;113.4609899;62.11071925;
predicted;90.91102341;21.88822405;25.84683294;25.14422599;79.33070232;82.16460905;98.331694;37.27620847;45.69186247;61.10745355;84.3140472;27.75638696;67.06105437;88.59703125;98.2672382;76.23490938;66.08274335;
predicted;67.94846594;92.83380798;55.01517075;83.86478228;94.20900255;63.46760127;91.80150658;33.78027513;19.024886;91.55587537;0.46366428;56.12424644;17.21608641;85.91612924;72.19440014;11.23433539;86.31442401;61.04154891
predicted;87.38633881;19.34042568;0.839031288;1.603575339;80.39752655;291.8839076;97.8943286;40.24221598;35.81072052;89.85581794;100.9678756;9.830034106;98.84887506;30.12926888;25.22420786;90.96109243;1.789527102;93.47592221
