;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RMSE;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488;13.25989488
RMSE;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197;13.17482197
RMSE;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319;27.85563319
RMSE;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827;13.09952827
RMSE;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708;22.71266708
RMSE;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783;10.99785783
RMSE;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028;13.72482028
RMSE;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386;12.64202386
RMSE;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684;13.03673684
